Tag,Site_Code,Deploy_Site,Deploy_Latitude,Deploy_Longitude,Species_Code,Common_Name,Species_Name,Sex,DeployDate,FieldYear
1844,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/10/2011,2012
1831,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/11/2011,2012
1737,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/14/2011,2012
1850,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/14/2011,2012
1852,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,12/14/2011,2012
1766,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/15/2011,2012
1768,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/16/2011,2012
1747,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/18/2011,2012
1752,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1770,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1771,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1772,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1773,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1774,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1775,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/19/2011,2012
1778,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/22/2011,2012
1780,CS,Cape Shirrreff,-62.47,-60.77,BRSK,Brown skua,Stercorarius antarcticus,UNK,12/22/2011,2012
1812,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/3/2012,2012
1818,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/4/2012,2012
1808,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/5/2012,2012
1804,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/8/2012,2012
1806,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/8/2012,2012
1807,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/8/2012,2012
1819,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/8/2012,2012
1826,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/8/2012,2012
1821,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/11/2012,2012
1823,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/11/2012,2012
1829,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/11/2012,2012
1810,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/12/2012,2012
1811,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/12/2012,2012
1814,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/12/2012,2012
1825,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/14/2012,2012
1792,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/15/2012,2012
1796,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/15/2012,2012
1797,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/16/2012,2012
1800,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/20/2012,2012
1790,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/21/2012,2012
1781,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/22/2012,2012
1789,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/22/2012,2012
1785,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/23/2012,2012
1786,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/24/2012,2012
2212,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,1/25/2012,2012
1888,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/2/2012,2012
1894,CS,Cape Shirrreff,-62.47,-60.77,LS,Leopard seal,Hydrurga leptonyx,2,2/2/2012,2012
1931,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
1962,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
1966,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
1980,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2000,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2001,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2002,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2003,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2005,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2007,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2010,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2012,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2016,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2017,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2019,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2020,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2021,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2022,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2024,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2025,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2027,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2029,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2030,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2031,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2036,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2037,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2038,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2039,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2043,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2044,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2045,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2143,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
2144,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/5/2012,2012
1883,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,1,2/7/2012,2012
1905,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/8/2012,2012
1917,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/8/2012,2012
2157,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,UNK,2/8/2012,2012
1968,CS,Cape Shirrreff,-62.47,-60.77,LS,Leopard seal,Hydrurga leptonyx,2,2/21/2012,2012
2014,CS,Cape Shirrreff,-62.47,-60.77,LS,Leopard seal,Hydrurga leptonyx,2,2/21/2012,2012
2202,CS,Cape Shirrreff,-62.47,-60.77,LS,Leopard seal,Hydrurga leptonyx,2,2/21/2012,2012
3145,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3149,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3152,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3155,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3159,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3163,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3174,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3180,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3186,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3191,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3197,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3204,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3206,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
